Tweet,Message/tweets,match,polarity
133,canada is a country where you have to put up signs in toilets telling people to stop shitting on the seat and the government has to put money towards telling people to wash their hands,,Neutral
134,RT Canadafuck yeah,,Neutral
135,RT NEW BC advises all residents NOT to travel ANYWHERE outside Canada including the US,,Neutral
136,RT I asked Dr Morris about whether closing the USCanada border would make Canadians saferFrom a health perspective thats probably the right thing to do,right,Positive
137,samkj27 PS I was not educated in Canada but thE most difficult place to navigate was the workplaceSchools and universities are still difficult places for POCminorities to navigate Undercurrentsno shortage of overt racismantiSemitismIslamophobia,educated,Positive
138,RT My personal viewthis is horrible behaviour that is beyond capitalism profiteering and pricegouging on the fears of other Canadians Shameful Hey costcocanada review their membership Via dougquan,horrible,Negative
139,Government in Ontario Canada Ban dog tethering NO MORE cases like these 14 chained dogs Sign the Petition changejp,like,Positive
140,RT Hockey Canada Board of Directors has made the decision to cancel all Hockey Canada sanctioned activities effective midnight tonight This includes all OWHA practices games activities and provincials,effective,Positive
141,RT JustinTrudeau POTUS Canada is the only country in the world that has no travel restrictions for Chinese Iranians Italians or any place with Coronavirus outbreakOut of 142 cases in Canada 80 of them came from these counties The balance were people who were contacted by these people,,Neutral
142,Peterlwhittle NLESDCA Hockey canada takes a big step all hockey canada event cancelled,,Neutral
143,TSN is awful They had a doctor on to discuss the China Coronavirus COVID19 and they ask him Should Canada shut down the US border and stop Americans entering The question should have been Should Trudeau stop entries from the 4 countries that have 90 of the cases,awful,Negative
144,RT There is now zero excuse for the ongoing refusal to shut Canadas borders The only explanation is that the Trudeau government is afraid to shut the borders because they will then have to explain why they left them open for so long,excuse,Negative
145,RT Swifter action is needed in Canada ASAPMy latest column in the Sun papers,,Neutral
146,RT fothergilljr jamesholden007 WhatsUpCanada What he and Chris ingvaldson did in BC would technically be classified as a grooming gang right,right,Positive
147,RT BREAKING CDCofBC Dr Bonnie Henry strongly advises against all nonessential travel outside of Canada For those who choose to go anyway new requirement to stay home from school or work for 14 days after return This will spoil a lot of spring break plans COVID19 Covid19,work,Positive
148,RT My spouse pointed out when I wondered whether Zoom could handle every university class in the country that I coul,,Neutral
149,CIAYale University Medical School DrJerry DrCecilYale University Medical School DrMichael OlverYale Unive,,Neutral
150,RT LizzieCClarke DoctorYasmin It is not a difficult test The only reason we arent doing it on a large scale is tha,difficult,Negative
151,InfinityWard Activision ATVIAssist I really wish the endowment pack was available in canada,available,Positive
152,RT My spouse pointed out when I wondered whether Zoom could handle every university class in the country that I coul,,Neutral
153,RT This is Min of Immigration marcomendicino definition of enhanced screening COVID19,enhanced,Positive
154,Im sorry but this is fucking evil,sorry,Negative
155,RT never forget that during the H1N1 epidemic the Government of Canada sent body bags to remote reserves in Manitoba i,epidemic,Negative
156,RT STATEMENT In response to the ongoing coronavirus COVID19 pandemic Hockey Canada has cancelled all sanctioned events effective March 13 2020FULL RELEASE,effective,Positive
157,RT There are reports that Trudeau went into self isolation due to COVID19 but its more likely that he went into hiding because Canada is in a crisis and he has no idea what to do,isolation,Negative
158,RT BREAKINGOur Medical Health Officer is saying Do Not Travel Outside Canada including America And if they do they will be required to stay in Quarantine for 2 weeks upon return No if ands or butsThank u adriandix amp Dr Bonnie Henry,,Neutral
159,RT Remember when everyone in Alberta had Let the Eastern bastards freeze in the dark bumper stickersIs that what you mean by has had Canadas backableg abpoli,bastards,Negative
160,nikkoleMTV They just cancelled school until April 5th in Ontario Canada,,Neutral
161,RT Any one coming from usa my friends father met with an accident and undergone knee operation he needs one kind of tablets which is worth 25k in india but if we get from usa or canada price is around 9kweight of tablets is 600gramsPls rt AGirlIsSou SuperGirl18,worth,Positive
162,EroticonUK I loved attending Eroticon in 2018 Unfortunately I cant attend every year because its a long way from the middle of Canada I hope next year it will be on again,loved,Positive
163,Im moving to Canada,,Neutral
164,RT STATEMENT In response to the ongoing coronavirus COVID19 pandemic Hockey Canada has cancelled all sanctioned events effective March 13 2020FULL RELEASE,effective,Positive
165,RT FUCKING FINALLY Christ almighty,,Neutral
166,RT Were hustlers Amid coronavirus fears this couple has made more than 100000 reselling Lysol wipes,fears,Negative
167,RT UPDATE My sisterinlaw says my brother has been asleep for hours fever cough chills The hospital in Long Island wont treat him and wont test him They are saying he has to have been in direct contact with someone that has a confirmed case that HAS been tested NYCMayor,fever,Negative
168,RT Wish I could send you peace of mind via this appAlasBut I can send you music no ones heard Heres a cut HamiltonWashington tune called I Have This Friend No ones heard it not even KailFunnier if you picture me and ChrisisSingin singing it,peace,Positive
169,RT A lie that is halftruth is the darkest of all lies Alfred Tennyson Banff National Park Canada,lie,Negative
170,RT Next up an exciting talk by Dr Jason Abbott on the Australia National Action Plan for Endometriosis Canada needs to follow in their footsteps to prioritize diagnosis and care for people with endometriosis PelvicPainEndo endohope2020 EndometriosisAu,exciting,Positive
171,RT Wow dean of University of Washington medical school is asking qualified graduate students to pause their research,qualified,Positive
172,RT SOBEITWHERE WAS TRUDEAU A COUPLE MONTHS AGOWhos not banning planes from coming into CanadaHe promised to ta,promised,Positive
173,my moms friend in canada has to send us toilet paper because its literally sold out everywhere even online,,Neutral
174,RT Regis University will move all of its oncampus classroom instruction to online learning environments starting Marc,,Neutral
175,RT cravecreative And someone is the 23rd prime minister of Canada,,Neutral
176,RT Morneau says he wanted to address Canadians after todays stock market volatility Wants Cdns to know We have a very strong fiscal position in Canada the best in the G7,volatility,Negative
177,HelgisBar cherly222 Do you have access to real maple syrup either from Canada or US If not well bring a jug with us,well,Positive
178,RT Shut it down The coronavirus pandemic can no longer be stopped so Canada must embrace social distancing to mitigate the harms by picardonhealth via GlobeDebate covid19,harms,Negative
179,bisqnetwork AndyBtc I wonder if this is a way for Canadians to get into the US market We can go to the local Canada Post and buy a USD postal money order with our Canadian bucks and throw it in the mail right away,wonder,Positive
